,r_id,resource,keff,ReacValue,p0,alpha,nearest_k
259,8,ap1000,1.185691205707616,15661.008938393545,0.2,0.773195565357986,1.18562
260,4,ap1000,1.1846950491516288,15590.092090271724,0.2,0.4671478506444445,1.18448
261,5,ap1000,1.1874505434379383,15785.966369195194,0.2,0.3109527574808957,1.18714
262,6,ap1000,1.1826216343665457,15442.10160372758,0.2,0.4288494326203435,1.18258
263,7,ap1000,1.1826736477025948,15445.820413556,0.2,0.3928967596590635,1.18258
264,8,ap1000,1.1852804381456112,15631.78064724372,0.2,0.3612731416049561,1.18524
265,4,ap1000,1.1843906255883998,15568.396237246086,0.2,0.2677427996738,1.1841
266,5,ap1000,1.1871050773392569,15761.458771503934,0.2,0.3038400164305556,1.18676
267,6,ap1000,1.182253529004627,15415.773734934117,0.2,0.3237514176944444,1.1822
268,7,ap1000,1.182398871881428,15426.171000247634,0.2,0.2416673888888889,1.1822
269,8,ap1000,1.1849607389859371,15609.018332896208,0.2,0.2811778009444444,1.18486
270,4,ap1000,1.1840445828852149,15543.720696457654,0.2,0.3043471444019311,1.18372
271,5,ap1000,1.186757523920468,15736.7886999791,0.2,0.3056758300694444,1.18638
272,6,ap1000,1.181939274711627,15393.284460914216,0.2,0.276389,1.18182
273,7,ap1000,1.1820582624172886,15401.80109607987,0.2,0.2995685700433577,1.18182
274,8,ap1000,1.1846476285941163,15586.713224863968,0.2,0.2753829303611111,1.18448
275,4,ap1000,1.1833636737049156,15495.12443041574,0.2,0.5988647144232763,1.18334
276,5,ap1000,1.1859837333750096,15681.811490428032,0.2,0.6805545694444445,1.18562
277,6,ap1000,1.1810805035559315,15331.766379238725,0.2,0.7552956514470571,1.18106
278,7,ap1000,1.1813199558593117,15348.928540483052,0.2,0.649346137182778,1.18106
279,8,ap1000,1.183940489854998,15536.29523030554,0.2,0.6219338074917788,1.18372
280,4,ap1000,1.1826634206846345,15445.08923586155,0.2,0.6158777662981777,1.18258
281,5,ap1000,1.1852183638823794,15627.361971988516,0.2,0.6731481905277784,1.18486
282,6,ap1000,1.1804572536283309,15287.063811388816,0.2,0.5481529706249999,1.1803
283,7,ap1000,1.1804950120447073,15289.773374990902,0.2,0.725544252070689,1.1803
284,8,ap1000,1.1831805709590637,15482.04690435214,0.2,0.6683543499861107,1.18296
285,4,ap1000,1.1822293347833612,15414.042726046382,0.2,0.3817817953150446,1.1822
286,5,ap1000,1.1848916899456796,15604.100485687077,0.2,0.287312169481022,1.18486
287,6,ap1000,1.1800322395597167,15256.552619857976,0.2,0.3738030506721183,1.17992
288,7,ap1000,1.1801241152905435,15263.150117578743,0.2,0.3262064680417569,1.17992
289,8,ap1000,1.1827279413393574,15449.701909674232,0.2,0.3980911343062261,1.18258
290,4,ap1000,1.1816566308623335,15373.047137201504,0.2,0.5036973799713661,1.18144
291,5,ap1000,1.1843200345228089,15563.363715034666,0.2,0.5027752180041599,1.1841
292,6,ap1000,1.1794332000616892,15213.51103668305,0.2,0.5268597168228543,1.17916
293,7,ap1000,1.1794822099998818,15217.034091586664,0.2,0.5645605019012911,1.17916
294,8,ap1000,1.1821113707705626,15405.60181329216,0.2,0.5422784246216718,1.18182
295,4,ap1000,1.1813140615320776,15348.506162444775,0.2,0.3012922869444444,1.18106
296,5,ap1000,1.183992529850342,15540.007661500942,0.2,0.2880428077984223,1.18372
297,6,ap1000,1.179035145540226,15184.886236634908,0.2,0.3500919274081778,1.17878
298,7,ap1000,1.1791601347229643,15193.87650983104,0.2,0.2832676138235776,1.17916
299,8,ap1000,1.1817875896244354,15382.424999251038,0.2,0.2847679385463777,1.18144
300,4,ap1000,1.180273393841286,15273.867460027464,0.2,0.915275013888889,1.17992
301,5,ap1000,1.1830507180285728,15472.770122113376,0.2,0.8283305380555553,1.18296
302,6,ap1000,1.178044907869752,15113.59258720528,0.2,0.8709214340138896,1.17802
303,7,ap1000,1.178124992457381,15119.362851800688,0.2,0.9104153611111108,1.17802
304,8,ap1000,1.180747726559651,15307.903838722314,0.2,0.9145673392999808,1.18068
305,4,ap1000,1.179325907975273,15205.79737649865,0.2,0.833320902386055,1.17916
306,5,ap1000,1.1820621172937382,15402.076983108023,0.2,0.8694817368816563,1.18182
307,6,ap1000,1.177042137573335,15041.274387876769,0.2,0.8819439722222221,1.17688
308,7,ap1000,1.1771735448723393,15050.758288282224,0.2,0.8368052638888888,1.17688
309,8,ap1000,1.1797684144796472,15237.601911807113,0.2,0.8613122955179209,1.17954
310,4,ap1000,1.1785007116682131,15146.423748487898,0.2,0.7257663210728441,1.1784
311,5,ap1000,1.1812157677432502,15341.461965875094,0.2,0.7443707568055556,1.18106
312,6,ap1000,1.1762311355737065,14982.6960232395,0.2,0.713282321573027,1.17612
313,7,ap1000,1.176291470999796,14987.056809138983,0.2,0.7757905651216006,1.17612
314,8,ap1000,1.1789337881573962,15177.594361517042,0.2,0.7340600899305558,1.17878
315,4,ap1000,1.1777308679340048,15090.957770834628,0.2,0.6770833194444444,1.17764
316,5,ap1000,1.180449423749947,15286.50191354334,0.2,0.6740052711548964,1.1803
317,6,ap1000,1.175345421247901,14918.62886246084,0.2,0.7789923709808149,1.17498
318,7,ap1000,1.1755374192480876,14932.525019949357,0.2,0.6631941527777778,1.17536
319,8,ap1000,1.1782074455070264,15125.302949544432,0.2,0.6388237910025436,1.17802
320,4,ap1000,1.1772452748156714,15055.934273630772,0.2,0.4270827777777777,1.17688
321,5,ap1000,1.1799377733077805,15249.7680283047,0.2,0.450000388888889,1.17992
322,6,ap1000,1.1748681104185612,14884.063059321808,0.2,0.4197984426911885,1.1746
323,7,ap1000,1.1749307080610996,14888.5978433379,0.2,0.5336070246156291,1.1746
324,8,ap1000,1.1777779380703015,15094.351178081766,0.2,0.3777550015168855,1.17764
325,4,ap1000,1.176762528466773,15021.087448890854,0.2,0.4245790227777778,1.1765
326,5,ap1000,1.1795059831025891,15218.74290373789,0.2,0.3797627134489076,1.17916
327,6,ap1000,1.1744385973373976,14852.934647487931,0.2,0.3777599658431226,1.17422
328,7,ap1000,1.174451476879905,14853.868407008164,0.2,0.4214874065034746,1.17422
329,8,ap1000,1.1774005174738431,15067.134321841691,0.2,0.3319442361111111,1.17726
330,4,ap1000,1.1762924473882903,14987.127374634663,0.2,0.4134398227638891,1.17612
331,5,ap1000,1.179051005046652,15186.027091301912,0.2,0.4001566015277777,1.17878
332,6,ap1000,1.1740419008117369,14824.164341272972,0.2,0.3488975599479083,1.17384
333,7,ap1000,1.1741046850614107,14828.71904665846,0.2,0.3050059969166667,1.17384
334,8,ap1000,1.177064962667528,15042.921867817207,0.2,0.2951229606993554,1.17688
