,n,shut_count,start_count,obj_value
239,239,0,0,103483383.42793012
240,240,0,0,1437649130.8745492
241,241,0,0,436062753.7982532
242,242,0,0,2037529.3331678796
243,243,0,0,913886.330542608
244,244,0,0,1750366.277392637
245,245,0,0,1135955.132330061
246,246,0,0,1023482.2755043348
247,247,0,0,1360194.3199178486
248,248,0,0,1086053.8832035195
249,249,0,0,1172887.34667876
250,250,0,0,1322933.7544553
251,251,0,0,5967809.335900009
252,252,0,0,1288490.8265725856
253,253,0,0,2716987799.118168
254,254,0,0,834652783.984171
255,255,0,0,936060.9819773086
256,256,0,0,13889277.401336916
257,257,0,0,192028660.14031443
258,258,0,0,796451.1215512351
259,259,0,0,63611897.36252891
260,260,0,0,909151.0581103332
261,261,0,0,2191632.411895506
262,262,0,0,974691.7138741404
263,263,0,0,1796946.130946181
264,264,0,0,810146.8705474255
265,265,0,0,2501059.521476115
266,266,0,0,1233498.5831413832
267,267,0,0,967410.6887730962
268,268,0,0,5227843.394323075
269,269,0,0,19479106.536209904
270,270,0,0,975184.9109094952
271,271,0,0,1277545.9146279506
272,272,0,0,1222558.8946482977
273,273,0,0,1080929.2837094383
274,274,0,0,1088936.1213949025
275,275,0,0,1855551.794650963
276,276,0,0,1480696.4938872887
277,277,1,0,836541.0332957278
278,278,0,0,752446.4266662027
279,279,0,0,704972.6068975682
280,280,0,1,1219513.6980445324
281,281,0,0,1461088.1131929955
282,282,0,0,1633134.837769366
283,283,0,0,1217773.6391959856
284,284,0,0,1874754.485659903
285,285,0,0,1403610.744993725
286,286,0,0,2213338.345119697
287,287,0,0,11967507.815931424
288,288,0,0,45975797.25167799
289,289,0,0,11171794.915731411
290,290,0,0,26344239.840832915
291,291,0,0,2316404.224559748
292,292,0,0,2035232.8888498235
293,293,0,0,1883984.238877121
294,294,0,0,9865062.607608195
295,295,0,0,86873224.04135878
296,296,0,0,25173574.904572822
297,297,0,0,58392550.19335356
298,298,0,0,281569815.4232959
299,299,0,0,114640886.70666295
300,300,0,0,184676268.6621997
301,301,0,0,19695279.72391588
302,302,0,0,55958943.42517884
303,303,0,0,19938986.174906
304,304,0,0,221245923.0741489
305,305,0,0,9961646.335227882
306,306,0,0,151559558.14695507
307,307,0,0,82437331.49247096
308,308,0,0,203301109.13492155
309,309,0,0,24827685.46409554
310,310,0,0,243073859.99528152
311,311,0,0,110063592.9115926
312,312,0,0,22232095.637252662
313,313,0,0,203334585.1841336
314,314,0,0,112198828.70494506
315,315,0,0,32388433.36471408
316,316,0,0,279751659.73568857
317,317,0,0,289561150.5587229
318,318,0,0,367532251.4170587
319,319,0,0,367260479.3651471
320,320,0,0,468261030.789792
321,321,0,0,755368879.2037055
322,322,0,0,1118968172.5093486
323,323,0,0,777729160.0862638
324,324,0,0,187084879.1602128
325,325,0,0,30252663.685411174
326,326,0,0,579882035.113416
327,327,0,0,244798757.3315232
328,328,0,0,1001533979.622312
329,329,0,0,345815423.6867135
330,330,2,0,637673471.5415759
331,331,0,0,1032856721.1775008
332,332,0,0,1856124346.0421083
333,333,0,0,755339497.5971663
334,334,1,0,1066197296.3721408
335,335,0,0,2125397089.5493824
336,336,1,0,1103859657.6310942
337,337,0,0,893707818.5239633
338,338,0,0,1010559529.0328112
339,339,0,0,780087271.3996896
340,340,0,2,142910727.47413522
341,341,1,0,686834830.0796545
342,342,0,0,992054259.0183167
343,343,0,0,1271886860.940539
344,344,0,1,479201820.0150285
345,345,0,0,41762719.97542454
346,346,0,1,1301964.1101351306
347,347,0,0,15933346.362151513
348,348,0,0,632548971.0778176
349,349,0,0,208180282.5038676
350,350,0,0,29754157.28197782
351,351,0,1,1895741.5295685087
352,352,0,0,2306943.036833536
353,353,0,0,2772441.174510814
354,354,0,0,2064035.120638769
355,355,0,0,1851465.7758138268
356,356,0,0,27204884.429942
357,357,0,0,1241921.3707954015
358,358,0,0,29381253.08550351
359,359,0,0,6323708.015767533
360,360,0,0,5976102.480621796
