,r_id,resource,keff,ReacValue,p0,alpha,nearest_k
1169,8,ap1000,1.0658912082298602,6181.794888737903,1.0,0.1388888888888889,1.06554
1170,4,ap1000,1.0621801662574688,5854.013116866706,1.0,0.1666666666666666,1.06212
1171,5,ap1000,1.058848125510153,5557.749415838077,1.0,1.0,1.0587
1172,6,ap1000,1.0634592921294412,5967.251647439379,1.0,0.25,1.06326
1173,7,ap1000,1.0626065427621056,5891.789692859239,1.0,0.4722222222222222,1.0625
1174,8,ap1000,1.0647542082298602,6081.61092291086,1.0,1.0,1.0644
1175,4,ap1000,1.0610431662574689,5753.1275068460645,1.0,1.0,1.06098
1176,5,ap1000,1.0586744171768196,5542.253239035232,1.0,0.1527777777777778,1.05832
1177,6,ap1000,1.0623222921294413,5866.608711045243,1.0,1.0,1.06212
1178,7,ap1000,1.0624170427621056,5875.003906171512,1.0,0.1666666666666666,1.06212
1179,8,ap1000,1.0636172082298605,5981.212765045058,1.0,1.0,1.06326
1180,4,ap1000,1.059906166257469,5652.02544947896,1.0,1.0,1.05984
1181,5,ap1000,1.0576321671768196,5449.169282611696,1.0,0.9166666666666666,1.05756
1182,6,ap1000,1.0611852921294411,5765.750108226914,1.0,1.0,1.06098
1183,7,ap1000,1.0612800427621056,5774.16330214004,1.0,1.0,1.06098
1184,8,ap1000,1.0624802082298606,5880.599727495665,1.0,1.0,1.06212
1185,4,ap1000,1.058769166257469,5550.706247444463,1.0,1.0,1.0587
1186,5,ap1000,1.0571110421768195,5402.558472874881,1.0,0.4583333333333333,1.0568
1187,6,ap1000,1.060300958796108,5687.154981409719,1.0,0.7777777777777778,1.06022
1188,7,ap1000,1.0605378344287724,5708.220156179464,1.0,0.6527777777777778,1.06022
1189,8,ap1000,1.0613432082298606,5779.77111967114,1.0,1.0,1.06098
1190,4,ap1000,1.057632166257469,5449.169200423043,1.0,1.0,1.05756
1191,5,ap1000,1.0563056671768194,5330.433124278046,1.0,0.7083333333333334,1.05604
1192,6,ap1000,1.0599377504627747,5654.836846466273,1.0,0.3194444444444444,1.05984
1193,7,ap1000,1.060079876095439,5667.485766896124,1.0,0.4027777777777778,1.05984
1194,8,ap1000,1.060206208229861,5678.726248017547,1.0,1.0,1.05984
1195,4,ap1000,1.056495166257469,5347.413605080437,1.0,1.0,1.05642
1196,5,ap1000,1.055847708843486,5289.371599305588,1.0,0.4027777777777778,1.05566
1197,6,ap1000,1.0588007504627748,5553.523685837441,1.0,1.0,1.0587
1198,7,ap1000,1.0591955427621058,5588.726573352006,1.0,0.7777777777777778,1.05908
1199,8,ap1000,1.059069208229861,5577.464416002598,1.0,1.0,1.0587
1200,4,ap1000,1.0553581662574691,5245.438755051407,1.0,1.0,1.05528
1201,5,ap1000,1.0549949588434862,5212.817216091071,1.0,0.75,1.0549
1202,6,ap1000,1.0576637504627748,5451.992699716179,1.0,1.0,1.05756
1203,7,ap1000,1.0581375010954392,5494.323850657619,1.0,0.9305555555555556,1.05794
1204,8,ap1000,1.0581374998965276,5494.323743578952,1.0,0.8194444444444444,1.05794
1205,4,ap1000,1.0542211662574692,5143.243940923392,1.0,1.0,1.05414
1206,5,ap1000,1.0538579588434862,5110.55198582838,1.0,1.0,1.05376
1207,6,ap1000,1.0565267504627749,5350.243184852187,1.0,1.0,1.05642
1208,7,ap1000,1.0570005010954393,5392.665475216514,1.0,1.0,1.0568
1209,8,ap1000,1.0570636665631945,5398.318792729298,1.0,0.9444444444444444,1.0568
1210,4,ap1000,1.0533210412574692,5062.1832441336,1.0,0.7916666666666666,1.053
1211,5,ap1000,1.0529578338434862,5029.4353811092815,1.0,0.7916666666666666,1.05262
1212,6,ap1000,1.055389750462775,5248.274434964642,1.0,1.0,1.05528
1213,7,ap1000,1.0558635010954394,5290.788159405262,1.0,1.0,1.05566
1214,8,ap1000,1.0559266665631946,5296.453658588182,1.0,1.0,1.05566
1215,4,ap1000,1.053194707924136,5050.795216108101,1.0,0.1111111111111111,1.053
1216,5,ap1000,1.0524682921768196,4985.2610826212585,1.0,0.4305555555555556,1.05224
1217,6,ap1000,1.054252750462775,5146.085740725855,1.0,1.0,1.05414
1218,7,ap1000,1.0547265010954394,5188.691195167699,1.0,1.0,1.05452
1219,8,ap1000,1.0553581665631946,5245.438782500743,1.0,0.5,1.05528
1220,4,ap1000,1.053194707924136,5050.795216108101,1.0,0.0,1.053
1221,5,ap1000,1.0523103755101528,4971.002541412092,1.0,0.1388888888888889,1.05224
1222,6,ap1000,1.0541737921294416,5138.98111809534,1.0,0.0694444444444444,1.05414
1223,7,ap1000,1.0545843760954394,5175.913595224699,1.0,0.125,1.05452
1224,8,ap1000,1.0542211665631946,5143.243968431969,1.0,1.0,1.05414
1225,4,ap1000,1.0524682912574692,4985.260999624139,1.0,0.6388888888888888,1.05224
1226,5,ap1000,1.0513944588434865,4888.218537885312,1.0,0.8055555555555556,1.0511
1227,6,ap1000,1.0541737921294416,5138.98111809534,1.0,0.0,1.05414
1228,7,ap1000,1.0541106260954394,5133.296710599727,1.0,0.4166666666666667,1.05376
1229,8,ap1000,1.0530841665631947,5040.828477788073,1.0,1.0,1.053
1230,4,ap1000,1.0524682912574692,4985.260999624139,1.0,0.0,1.05224
1231,5,ap1000,1.0507470005101531,4829.611741505302,1.0,0.5694444444444444,1.05072
1232,6,ap1000,1.0541737921294416,5138.98111809534,1.0,0.0,1.05414
1233,7,ap1000,1.0532105010954391,5052.219004661969,1.0,0.7916666666666666,1.053
1234,8,ap1000,1.0525630415631948,4993.814098311086,1.0,0.4583333333333333,1.05224
1235,4,ap1000,1.0524682912574692,4985.260999624139,1.0,0.0,1.05224
1236,5,ap1000,1.05058908384925,4815.306443495187,1.0,0.1388888838199049,1.05034
1237,6,ap1000,1.0537474171294416,5100.597757654038,1.0,0.375,1.05338
1238,7,ap1000,1.0532105010954391,5052.219004661949,1.0,0.0,1.053
1239,8,ap1000,1.0514260415631949,4891.075504154132,1.0,1.0,1.0511
1240,4,ap1000,1.0522314162574693,4963.871582854247,1.0,0.2083333333333333,1.05186
1241,5,ap1000,1.0504311671825832,4800.996843786282,1.0,0.1388888888888889,1.05034
1242,6,ap1000,1.053163125462775,5047.947860823011,1.0,0.5138888888888888,1.053
1243,7,ap1000,1.0530525844287724,5037.980554176285,1.0,0.1388888888888889,1.053
1244,8,ap1000,1.050289041563195,4788.114468789216,1.0,1.0,1.04996
1245,4,ap1000,1.0522314162574693,4963.871582854247,1.0,0.0,1.05186
1246,5,ap1000,1.0501785005159163,4778.0925329613565,1.0,0.2222222222222222,1.04996
1247,6,ap1000,1.053163125462775,5047.947860823011,1.0,0.0,1.053
1248,7,ap1000,1.0525788344287723,4995.239568664375,1.0,0.4166666666666667,1.05224
1249,8,ap1000,1.049152041563195,4684.930269016146,1.0,1.0,1.04882
1250,4,ap1000,1.0522314162574693,4963.871582854247,1.0,0.0,1.05186
1251,5,ap1000,1.0501627088492496,4776.660647588315,1.0,0.0138888888888888,1.04996
1252,6,ap1000,1.0527525421294417,5010.915672807301,1.0,0.3611111111111111,1.05262
1253,7,ap1000,1.0516787094287725,4913.925609166509,1.0,0.7916666666666666,1.05148
1254,8,ap1000,1.048015041563195,4581.522178496303,1.0,1.0,1.04768
1255,4,ap1000,1.051805041257469,4925.346354637605,1.0,0.375,1.05148
1256,5,ap1000,1.0501627088492496,4776.660647588315,1.0,0.0,1.04996
1257,6,ap1000,1.051884000462775,4932.483091286556,1.0,0.7638888888888888,1.05186
1258,7,ap1000,1.0512049594287725,4871.072854964208,1.0,0.4166666666666667,1.0511
1259,8,ap1000,1.046878041563195,4477.889467735605,1.0,1.0,1.04654
1260,4,ap1000,1.0506680412574692,4822.459546483227,1.0,1.0,1.05034
1261,5,ap1000,1.049057292182583,4676.32154584411,1.0,0.9722222222222222,1.04882
1262,6,ap1000,1.0508259587961084,4836.762774145567,1.0,0.9305555555555556,1.05072
1263,7,ap1000,1.0500679594287723,4768.068483492157,1.0,1.0,1.04996
1264,8,ap1000,1.0463411248965284,4428.873509211544,1.0,0.4722222222222222,1.04616
1265,4,ap1000,1.0505259162574692,4809.583036034874,1.0,0.125,1.05034
1266,5,ap1000,1.0489783338492495,4669.146374980163,1.0,0.0694444444444444,1.04882
1267,6,ap1000,1.0496889587961085,4733.684047996168,1.0,1.0,1.04958
1268,7,ap1000,1.049325751095439,4700.709102387473,1.0,0.6527777777777778,1.0492
1269,8,ap1000,1.0461832082298617,4414.447475983053,1.0,0.1388888888888889,1.04616
1270,4,ap1000,1.0493889162574692,4706.445388579992,1.0,1.0,1.0492
1271,5,ap1000,1.0478413338492496,4565.7040148916685,1.0,1.0,1.04768
1272,6,ap1000,1.0485519587961083,4630.381774485767,1.0,1.0,1.04844
1273,7,ap1000,1.048188751095439,4597.335264767731,1.0,1.0,1.04806
1274,8,ap1000,1.0450462082298615,4310.451334602961,1.0,1.0,1.04502
1275,4,ap1000,1.0488519995908026,4657.663770471105,1.0,0.4722222222222222,1.04882
